Exact Jaccard Similarities (>= 0.5):
664 - 840 : 0.52
666 - 716 : 0.52
682 - 880 : 0.5
682 - 916 : 0.6
709 - 757 : 0.5
715 - 757 : 0.5
716 - 840 : 0.5
716 - 846 : 0.52
716 - 892 : 0.58
727 - 749 : 0.5
727 - 864 : 0.54
747 - 881 : 0.5
747 - 932 : 0.54
749 - 881 : 0.5
749 - 892 : 0.5
774 - 943 : 0.6
796 - 846 : 0.52
801 - 827 : 0.5
804 - 864 : 0.52
804 - 881 : 0.54
804 - 892 : 0.54
840 - 848 : 0.56
846 - 889 : 0.5
846 - 892 : 0.52
864 - 881 : 0.5
881 - 892 : 0.64
886 - 916 : 0.5
892 - 897 : 0.5
896 - 916 : 0.52
False Positives: 108.8
False Negatives: 0.6
MinHash Similarities with 100 hash functions (>= 0.5):
13 - 537 : 0.5
13 - 655 : 0.52
26 - 141 : 0.5
26 - 825 : 0.5
26 - 938 : 0.5
37 - 217 : 0.5
40 - 574 : 0.51
59 - 151 : 0.51
59 - 524 : 0.54
59 - 537 : 0.51
92 - 276 : 0.58
92 - 301 : 0.5
92 - 435 : 0.59
92 - 727 : 0.53
92 - 864 : 0.51
92 - 880 : 0.5
94 - 276 : 0.51
94 - 682 : 0.52
95 - 194 : 0.52
100 - 863 : 0.5
112 - 616 : 0.5
130 - 276 : 0.52
130 - 435 : 0.52
173 - 451 : 0.51
178 - 416 : 0.5
197 - 600 : 0.51
197 - 826 : 0.53
200 - 472 : 0.51
222 - 393 : 0.5
222 - 416 : 0.51
222 - 682 : 0.55
222 - 727 : 0.52
222 - 880 : 0.5
234 - 537 : 0.5
258 - 589 : 0.52
268 - 417 : 0.51
268 - 497 : 0.5
276 - 293 : 0.51
276 - 303 : 0.52
276 - 417 : 0.5
276 - 435 : 0.56
276 - 551 : 0.5
276 - 682 : 0.52
276 - 727 : 0.51
276 - 880 : 0.5
276 - 916 : 0.52
293 - 301 : 0.5
293 - 303 : 0.53
293 - 682 : 0.51
293 - 796 : 0.55
293 - 804 : 0.5
301 - 303 : 0.5
301 - 457 : 0.52
301 - 472 : 0.53
301 - 804 : 0.55
303 - 435 : 0.56
303 - 655 : 0.53
313 - 716 : 0.51
328 - 788 : 0.7
334 - 758 : 0.52
353 - 784 : 0.53
356 - 856 : 0.5
366 - 814 : 0.53
374 - 880 : 0.51
384 - 820 : 0.53
393 - 435 : 0.52
393 - 682 : 0.53
393 - 880 : 0.51
400 - 544 : 0.52
404 - 544 : 0.52
404 - 827 : 0.56
405 - 846 : 0.51
406 - 537 : 0.51
408 - 898 : 0.84
416 - 435 : 0.5
416 - 682 : 0.51
417 - 435 : 0.52
435 - 472 : 0.51
435 - 682 : 0.52
435 - 727 : 0.5
435 - 864 : 0.51
435 - 880 : 0.51
446 - 853 : 0.52
450 - 655 : 0.51
451 - 489 : 0.52
451 - 587 : 0.51
474 - 666 : 0.51
474 - 716 : 0.5
489 - 587 : 0.69
489 - 724 : 0.51
489 - 752 : 0.5
489 - 863 : 0.54
524 - 537 : 0.53
537 - 561 : 0.5
554 - 764 : 0.59
580 - 714 : 0.5
587 - 752 : 0.51
587 - 863 : 0.5
600 - 826 : 0.55
650 - 804 : 0.52
674 - 879 : 0.56
682 - 727 : 0.51
682 - 880 : 0.57
724 - 863 : 0.52
749 - 804 : 0.5
755 - 853 : 0.5
804 - 880 : 0.52
804 - 889 : 0.5
False Positives: 19.8
False Negatives: 0.2
MinHash Similarities with 200 hash functions (>= 0.5):
7 - 234 : 0.51
13 - 276 : 0.525
13 - 450 : 0.52
13 - 655 : 0.52
26 - 634 : 0.5
26 - 938 : 0.515
59 - 474 : 0.5
59 - 537 : 0.535
85 - 194 : 0.51
85 - 406 : 0.5
92 - 222 : 0.54
92 - 276 : 0.555
92 - 303 : 0.515
92 - 374 : 0.525
92 - 378 : 0.51
92 - 457 : 0.51
92 - 551 : 0.515
92 - 682 : 0.52
92 - 804 : 0.5
92 - 864 : 0.52
92 - 896 : 0.54
94 - 276 : 0.535
94 - 293 : 0.505
94 - 429 : 0.51
94 - 450 : 0.5
94 - 551 : 0.515
94 - 682 : 0.535
94 - 896 : 0.5
105 - 820 : 0.525
127 - 702 : 0.505
130 - 303 : 0.5
173 - 451 : 0.5
178 - 293 : 0.52
194 - 293 : 0.505
194 - 311 : 0.52
194 - 313 : 0.59
194 - 881 : 0.515
194 - 892 : 0.5
194 - 896 : 0.5
197 - 600 : 0.535
197 - 826 : 0.585
201 - 537 : 0.51
201 - 655 : 0.515
222 - 303 : 0.52
222 - 378 : 0.51
222 - 393 : 0.5
222 - 399 : 0.535
222 - 416 : 0.5
222 - 429 : 0.525
222 - 472 : 0.5
222 - 551 : 0.505
222 - 682 : 0.525
222 - 749 : 0.515
222 - 880 : 0.5
234 - 308 : 0.565
234 - 474 : 0.555
234 - 537 : 0.525
271 - 474 : 0.535
271 - 666 : 0.515
276 - 303 : 0.58
276 - 416 : 0.51
276 - 551 : 0.53
276 - 682 : 0.54
276 - 880 : 0.53
293 - 303 : 0.5
293 - 378 : 0.51
293 - 429 : 0.535
293 - 450 : 0.515
293 - 474 : 0.54
293 - 551 : 0.555
293 - 682 : 0.55
293 - 896 : 0.6
293 - 916 : 0.51
303 - 378 : 0.515
303 - 880 : 0.53
308 - 474 : 0.54
308 - 537 : 0.51
313 - 716 : 0.53
328 - 788 : 0.715
378 - 429 : 0.52
378 - 533 : 0.51
378 - 682 : 0.51
378 - 864 : 0.525
405 - 655 : 0.5
408 - 898 : 0.81
429 - 474 : 0.53
429 - 551 : 0.515
429 - 896 : 0.51
429 - 916 : 0.5
435 - 472 : 0.5
446 - 853 : 0.515
450 - 474 : 0.51
450 - 537 : 0.515
450 - 846 : 0.5
451 - 489 : 0.515
451 - 587 : 0.51
454 - 474 : 0.505
457 - 864 : 0.535
474 - 524 : 0.505
474 - 537 : 0.575
489 - 587 : 0.645
537 - 655 : 0.545
551 - 682 : 0.595
551 - 896 : 0.56
551 - 916 : 0.515
554 - 764 : 0.605
589 - 853 : 0.5
600 - 826 : 0.595
606 - 618 : 0.505
653 - 804 : 0.53
653 - 896 : 0.53
674 - 879 : 0.545
682 - 880 : 0.53
682 - 896 : 0.575
724 - 863 : 0.5
727 - 804 : 0.52
749 - 804 : 0.525
800 - 879 : 0.525
840 - 848 : 0.515
881 - 892 : 0.5
896 - 916 : 0.5
False Positives: 22.2
False Negatives: 0.0
Exact Jaccard Similarities (>= 0.5):
197 - 600 : 0.5
197 - 826 : 0.512987012987013
328 - 788 : 0.6729559748427673
408 - 898 : 0.8387096774193549
451 - 489 : 0.5333333333333333
489 - 587 : 0.6299212598425197
554 - 764 : 0.5170068027210885
600 - 826 : 0.5454545454545454
674 - 879 : 0.5217391304347826
800 - 879 : 0.5
MinHash Similarities with 50 hash functions (>= 0.5):
2 - 701 : 0.52
6 - 474 : 0.5
7 - 846 : 0.52
13 - 405 : 0.52
13 - 749 : 0.5
18 - 151 : 0.5
18 - 271 : 0.54
18 - 305 : 0.52
18 - 354 : 0.52
18 - 474 : 0.54
18 - 716 : 0.52
18 - 846 : 0.5
23 - 738 : 0.5
33 - 616 : 0.52
33 - 784 : 0.5
39 - 284 : 0.5
39 - 775 : 0.54
40 - 574 : 0.6
42 - 577 : 0.52
42 - 823 : 0.5
56 - 102 : 0.5
56 - 222 : 0.52
56 - 577 : 0.54
56 - 648 : 0.52
56 - 864 : 0.5
59 - 194 : 0.52
59 - 271 : 0.5
59 - 327 : 0.5
59 - 373 : 0.54
59 - 429 : 0.58
59 - 537 : 0.6
59 - 716 : 0.5
59 - 846 : 0.52
59 - 916 : 0.56
60 - 474 : 0.52
60 - 716 : 0.52
70 - 484 : 0.5
70 - 807 : 0.5
85 - 151 : 0.5
85 - 327 : 0.5
85 - 406 : 0.52
85 - 535 : 0.5
85 - 650 : 0.5
85 - 716 : 0.5
92 - 222 : 0.54
92 - 268 : 0.56
92 - 374 : 0.5
92 - 435 : 0.52
92 - 472 : 0.5
92 - 648 : 0.52
92 - 682 : 0.54
92 - 749 : 0.5
92 - 805 : 0.5
92 - 864 : 0.52
92 - 916 : 0.54
95 - 650 : 0.5
95 - 846 : 0.52
95 - 864 : 0.5
100 - 423 : 0.54
100 - 863 : 0.52
105 - 820 : 0.52
107 - 362 : 0.52
111 - 171 : 0.58
111 - 866 : 0.5
112 - 423 : 0.52
112 - 616 : 0.58
112 - 683 : 0.52
112 - 752 : 0.5
112 - 841 : 0.52
130 - 435 : 0.5
130 - 648 : 0.52
130 - 682 : 0.5
130 - 880 : 0.56
141 - 938 : 0.5
146 - 920 : 0.5
151 - 271 : 0.52
151 - 354 : 0.52
151 - 716 : 0.54
194 - 271 : 0.52
194 - 311 : 0.52
194 - 313 : 0.5
194 - 429 : 0.56
194 - 537 : 0.52
194 - 716 : 0.5
194 - 846 : 0.58
194 - 916 : 0.52
197 - 600 : 0.5
197 - 826 : 0.58
222 - 268 : 0.5
222 - 303 : 0.52
222 - 682 : 0.56
222 - 880 : 0.5
229 - 410 : 0.6
229 - 818 : 0.5
234 - 305 : 0.5
241 - 783 : 0.52
241 - 920 : 0.54
268 - 276 : 0.52
268 - 301 : 0.5
268 - 303 : 0.54
268 - 916 : 0.5
271 - 429 : 0.52
271 - 474 : 0.6
271 - 537 : 0.54
271 - 716 : 0.52
271 - 870 : 0.56
276 - 303 : 0.56
279 - 417 : 0.5
284 - 611 : 0.5
293 - 299 : 0.5
293 - 308 : 0.56
293 - 327 : 0.52
293 - 653 : 0.52
293 - 889 : 0.52
299 - 327 : 0.5
299 - 429 : 0.5
299 - 883 : 0.5
301 - 749 : 0.52
301 - 804 : 0.5
303 - 429 : 0.58
305 - 327 : 0.5
305 - 474 : 0.5
308 - 327 : 0.54
311 - 537 : 0.52
311 - 650 : 0.5
311 - 716 : 0.52
311 - 846 : 0.58
313 - 650 : 0.5
313 - 716 : 0.52
313 - 896 : 0.52
317 - 772 : 0.58
317 - 816 : 0.52
326 - 650 : 0.5
326 - 774 : 0.5
327 - 339 : 0.5
327 - 363 : 0.5
327 - 429 : 0.56
327 - 514 : 0.58
327 - 606 : 0.56
327 - 716 : 0.5
327 - 823 : 0.5
327 - 896 : 0.52
327 - 916 : 0.52
328 - 788 : 0.68
356 - 841 : 0.5
356 - 856 : 0.5
362 - 687 : 0.58
362 - 772 : 0.56
363 - 472 : 0.54
363 - 650 : 0.5
367 - 368 : 0.52
373 - 429 : 0.5
373 - 514 : 0.5
373 - 896 : 0.5
374 - 796 : 0.5
378 - 588 : 0.5
378 - 864 : 0.52
384 - 827 : 0.52
393 - 435 : 0.52
393 - 682 : 0.58
394 - 472 : 0.62
394 - 484 : 0.5
405 - 537 : 0.54
405 - 682 : 0.52
405 - 846 : 0.54
406 - 537 : 0.5
408 - 898 : 0.72
416 - 435 : 0.5
416 - 450 : 0.5
416 - 682 : 0.6
423 - 616 : 0.54
429 - 537 : 0.5
429 - 655 : 0.5
429 - 682 : 0.56
429 - 846 : 0.52
429 - 916 : 0.52
435 - 551 : 0.5
435 - 648 : 0.54
435 - 653 : 0.52
435 - 682 : 0.54
435 - 804 : 0.58
435 - 880 : 0.5
435 - 881 : 0.52
446 - 853 : 0.5
451 - 489 : 0.54
451 - 587 : 0.6
454 - 474 : 0.5
454 - 716 : 0.52
472 - 749 : 0.52
474 - 535 : 0.5
474 - 537 : 0.5
474 - 716 : 0.58
484 - 705 : 0.52
487 - 682 : 0.5
489 - 502 : 0.5
489 - 587 : 0.7
497 - 648 : 0.5
510 - 626 : 0.54
514 - 606 : 0.52
514 - 738 : 0.5
514 - 883 : 0.52
537 - 716 : 0.5
588 - 864 : 0.5
600 - 826 : 0.64
616 - 784 : 0.54
648 - 804 : 0.52
650 - 843 : 0.5
650 - 846 : 0.64
650 - 896 : 0.5
653 - 804 : 0.54
660 - 815 : 0.5
673 - 784 : 0.5
674 - 879 : 0.58
682 - 749 : 0.52
682 - 796 : 0.52
682 - 880 : 0.54
682 - 916 : 0.52
716 - 796 : 0.5
716 - 896 : 0.52
724 - 863 : 0.56
738 - 899 : 0.5
749 - 796 : 0.52
749 - 804 : 0.52
755 - 853 : 0.52
766 - 843 : 0.5
772 - 809 : 0.5
772 - 841 : 0.52
772 - 856 : 0.52
775 - 915 : 0.56
784 - 920 : 0.5
796 - 846 : 0.5
804 - 881 : 0.56
805 - 864 : 0.5
809 - 856 : 0.54
864 - 916 : 0.5
896 - 916 : 0.5
False Positives: 45.6
False Negatives: 0.4
MinHash Similarities with 100 hash functions (>= 0.5):
7 - 194 : 0.51
7 - 234 : 0.5
7 - 308 : 0.53
7 - 406 : 0.57
7 - 429 : 0.5
7 - 450 : 0.54
7 - 716 : 0.52
7 - 846 : 0.53
13 - 276 : 0.51
18 - 85 : 0.54
18 - 151 : 0.54
18 - 194 : 0.52
18 - 535 : 0.5
37 - 217 : 0.56
42 - 330 : 0.5
59 - 151 : 0.55
59 - 194 : 0.51
59 - 234 : 0.54
59 - 308 : 0.54
59 - 406 : 0.59
59 - 450 : 0.6
59 - 474 : 0.54
59 - 524 : 0.53
59 - 537 : 0.61
59 - 659 : 0.5
59 - 716 : 0.5
59 - 846 : 0.5
85 - 151 : 0.54
85 - 194 : 0.56
85 - 234 : 0.52
85 - 524 : 0.5
85 - 561 : 0.53
90 - 450 : 0.5
90 - 474 : 0.5
90 - 537 : 0.53
92 - 276 : 0.5
92 - 303 : 0.5
94 - 222 : 0.51
94 - 276 : 0.54
94 - 653 : 0.5
94 - 682 : 0.52
109 - 417 : 0.5
111 - 673 : 0.52
112 - 284 : 0.53
112 - 752 : 0.52
112 - 784 : 0.5
126 - 258 : 0.55
151 - 234 : 0.54
151 - 269 : 0.56
151 - 312 : 0.54
151 - 406 : 0.61
151 - 450 : 0.51
151 - 474 : 0.51
151 - 537 : 0.54
151 - 716 : 0.54
173 - 446 : 0.51
173 - 755 : 0.51
194 - 311 : 0.55
194 - 524 : 0.51
194 - 804 : 0.52
194 - 864 : 0.5
197 - 600 : 0.52
197 - 826 : 0.56
201 - 561 : 0.55
222 - 682 : 0.5
234 - 308 : 0.52
234 - 311 : 0.51
234 - 406 : 0.58
234 - 450 : 0.63
234 - 474 : 0.53
234 - 537 : 0.56
234 - 716 : 0.59
234 - 846 : 0.53
234 - 932 : 0.5
258 - 589 : 0.5
268 - 303 : 0.51
271 - 474 : 0.56
276 - 303 : 0.52
276 - 416 : 0.53
276 - 655 : 0.53
276 - 682 : 0.57
293 - 450 : 0.5
301 - 561 : 0.5
303 - 417 : 0.51
308 - 406 : 0.57
308 - 450 : 0.55
308 - 474 : 0.53
308 - 537 : 0.56
311 - 406 : 0.5
311 - 846 : 0.55
312 - 716 : 0.5
312 - 932 : 0.58
313 - 650 : 0.53
313 - 815 : 0.52
313 - 846 : 0.5
327 - 387 : 0.52
328 - 788 : 0.64
330 - 484 : 0.5
334 - 537 : 0.51
353 - 784 : 0.5
356 - 616 : 0.52
356 - 856 : 0.58
393 - 682 : 0.5
405 - 450 : 0.52
405 - 537 : 0.51
405 - 846 : 0.56
406 - 450 : 0.53
406 - 474 : 0.52
406 - 537 : 0.52
406 - 561 : 0.53
406 - 716 : 0.55
408 - 898 : 0.85
429 - 450 : 0.53
429 - 561 : 0.52
435 - 682 : 0.52
446 - 853 : 0.5
450 - 454 : 0.51
450 - 474 : 0.57
450 - 524 : 0.52
450 - 537 : 0.61
450 - 716 : 0.51
450 - 846 : 0.55
451 - 587 : 0.5
454 - 716 : 0.52
474 - 537 : 0.54
474 - 666 : 0.51
474 - 716 : 0.51
489 - 587 : 0.57
495 - 815 : 0.53
524 - 537 : 0.52
524 - 716 : 0.51
529 - 853 : 0.5
537 - 846 : 0.51
554 - 764 : 0.52
600 - 826 : 0.58
653 - 804 : 0.5
673 - 784 : 0.53
674 - 879 : 0.57
713 - 775 : 0.5
716 - 932 : 0.52
724 - 863 : 0.54
772 - 784 : 0.52
False Positives: 26.8
False Negatives: 0.4
MinHash Similarities with 200 hash functions (>= 0.5):
7 - 308 : 0.5
13 - 276 : 0.51
13 - 405 : 0.52
13 - 416 : 0.515
13 - 450 : 0.545
13 - 655 : 0.535
18 - 59 : 0.535
18 - 151 : 0.54
18 - 271 : 0.5
18 - 308 : 0.51
40 - 574 : 0.515
56 - 109 : 0.52
59 - 194 : 0.53
59 - 234 : 0.515
59 - 271 : 0.525
59 - 308 : 0.505
59 - 406 : 0.555
59 - 429 : 0.5
59 - 450 : 0.52
59 - 474 : 0.545
59 - 537 : 0.55
59 - 716 : 0.505
60 - 716 : 0.505
92 - 178 : 0.505
92 - 222 : 0.52
92 - 276 : 0.53
92 - 303 : 0.505
92 - 378 : 0.515
92 - 429 : 0.525
92 - 435 : 0.5
92 - 457 : 0.54
92 - 804 : 0.54
92 - 864 : 0.525
94 - 222 : 0.565
94 - 276 : 0.555
94 - 293 : 0.525
94 - 303 : 0.545
94 - 378 : 0.51
94 - 417 : 0.52
94 - 429 : 0.535
94 - 435 : 0.55
94 - 682 : 0.54
94 - 864 : 0.515
94 - 896 : 0.565
94 - 916 : 0.51
109 - 222 : 0.515
109 - 804 : 0.5
130 - 880 : 0.505
143 - 356 : 0.515
151 - 716 : 0.52
178 - 222 : 0.51
178 - 592 : 0.515
194 - 311 : 0.505
194 - 406 : 0.525
197 - 600 : 0.51
197 - 826 : 0.515
200 - 472 : 0.51
201 - 655 : 0.505
222 - 276 : 0.58
222 - 280 : 0.505
222 - 293 : 0.5
222 - 303 : 0.59
222 - 378 : 0.55
222 - 399 : 0.515
222 - 416 : 0.51
222 - 429 : 0.54
222 - 457 : 0.5
222 - 472 : 0.505
222 - 551 : 0.52
222 - 682 : 0.54
222 - 749 : 0.505
222 - 864 : 0.54
222 - 880 : 0.525
234 - 308 : 0.57
234 - 450 : 0.52
234 - 474 : 0.51
234 - 537 : 0.52
234 - 716 : 0.505
268 - 276 : 0.515
268 - 303 : 0.525
268 - 363 : 0.5
268 - 417 : 0.515
268 - 497 : 0.525
268 - 682 : 0.5
268 - 727 : 0.56
271 - 308 : 0.51
271 - 450 : 0.51
271 - 474 : 0.56
271 - 716 : 0.52
276 - 293 : 0.53
276 - 303 : 0.6
276 - 363 : 0.515
276 - 393 : 0.535
276 - 416 : 0.55
276 - 417 : 0.5
276 - 429 : 0.5
276 - 435 : 0.545
276 - 551 : 0.555
276 - 682 : 0.565
276 - 880 : 0.545
276 - 896 : 0.535
280 - 378 : 0.51
293 - 303 : 0.525
293 - 416 : 0.505
293 - 429 : 0.52
293 - 450 : 0.53
293 - 551 : 0.51
293 - 880 : 0.535
293 - 896 : 0.515
303 - 393 : 0.515
303 - 399 : 0.515
303 - 416 : 0.51
303 - 435 : 0.53
303 - 682 : 0.545
303 - 880 : 0.57
308 - 406 : 0.51
308 - 474 : 0.515
328 - 788 : 0.7
378 - 416 : 0.505
378 - 450 : 0.53
378 - 864 : 0.52
393 - 416 : 0.52
393 - 682 : 0.5
393 - 880 : 0.525
405 - 450 : 0.52
405 - 655 : 0.525
407 - 650 : 0.53
408 - 898 : 0.865
416 - 435 : 0.505
416 - 450 : 0.52
416 - 655 : 0.515
416 - 682 : 0.565
417 - 727 : 0.55
429 - 457 : 0.525
429 - 561 : 0.51
429 - 889 : 0.52
429 - 916 : 0.5
435 - 472 : 0.515
435 - 682 : 0.51
435 - 727 : 0.575
435 - 804 : 0.54
435 - 864 : 0.5
435 - 880 : 0.5
450 - 655 : 0.51
450 - 846 : 0.51
451 - 489 : 0.61
451 - 587 : 0.555
460 - 733 : 0.525
472 - 727 : 0.505
474 - 537 : 0.505
474 - 716 : 0.555
489 - 587 : 0.745
551 - 682 : 0.52
551 - 896 : 0.535
554 - 764 : 0.59
600 - 826 : 0.6
634 - 938 : 0.505
650 - 749 : 0.52
674 - 879 : 0.515
682 - 796 : 0.505
682 - 880 : 0.555
724 - 863 : 0.515
727 - 880 : 0.505
727 - 896 : 0.51
749 - 804 : 0.5
755 - 853 : 0.54
800 - 879 : 0.51
804 - 896 : 0.505
False Positives: 31.6
False Negatives: 0.0
Exact Jaccard Similarities (>= 0.5):
197 - 600 : 0.5
197 - 826 : 0.512987012987013
328 - 788 : 0.6729559748427673
408 - 898 : 0.8387096774193549
451 - 489 : 0.5333333333333333
489 - 587 : 0.6299212598425197
554 - 764 : 0.5170068027210885
600 - 826 : 0.5454545454545454
674 - 879 : 0.5217391304347826
800 - 879 : 0.5
MinHash Similarities with 50 hash functions (>= 0.5):
7 - 312 : 0.52
7 - 716 : 0.54
13 - 222 : 0.5
13 - 234 : 0.5
13 - 293 : 0.52
13 - 308 : 0.52
13 - 435 : 0.5
13 - 655 : 0.56
18 - 716 : 0.52
22 - 638 : 0.52
26 - 432 : 0.54
26 - 938 : 0.52
39 - 284 : 0.5
42 - 407 : 0.52
43 - 286 : 0.52
44 - 843 : 0.5
56 - 198 : 0.52
57 - 168 : 0.5
59 - 406 : 0.52
59 - 537 : 0.58
59 - 796 : 0.56
64 - 618 : 0.52
64 - 896 : 0.5
64 - 916 : 0.5
64 - 933 : 0.5
75 - 518 : 0.5
85 - 437 : 0.56
87 - 92 : 0.56
87 - 407 : 0.52
87 - 774 : 0.5
87 - 880 : 0.5
92 - 222 : 0.54
92 - 268 : 0.58
92 - 276 : 0.5
92 - 407 : 0.52
92 - 417 : 0.54
92 - 435 : 0.52
92 - 864 : 0.5
94 - 222 : 0.52
94 - 276 : 0.5
94 - 293 : 0.54
94 - 435 : 0.5
94 - 653 : 0.54
94 - 682 : 0.6
94 - 889 : 0.5
94 - 896 : 0.6
101 - 168 : 0.5
104 - 595 : 0.54
109 - 313 : 0.52
109 - 407 : 0.52
109 - 790 : 0.5
109 - 933 : 0.5
112 - 616 : 0.5
118 - 367 : 0.52
127 - 702 : 0.52
141 - 938 : 0.52
146 - 485 : 0.52
151 - 311 : 0.58
151 - 537 : 0.5
152 - 593 : 0.5
164 - 717 : 0.52
168 - 251 : 0.5
168 - 714 : 0.56
168 - 938 : 0.54
170 - 510 : 0.56
173 - 427 : 0.52
173 - 451 : 0.56
173 - 755 : 0.54
178 - 682 : 0.54
178 - 896 : 0.54
179 - 915 : 0.5
194 - 222 : 0.5
194 - 577 : 0.5
194 - 650 : 0.54
194 - 916 : 0.5
197 - 466 : 0.52
197 - 600 : 0.52
198 - 880 : 0.5
201 - 303 : 0.52
201 - 378 : 0.52
201 - 561 : 0.58
201 - 655 : 0.52
210 - 521 : 0.5
217 - 619 : 0.56
222 - 268 : 0.58
222 - 276 : 0.56
222 - 280 : 0.54
222 - 301 : 0.5
222 - 303 : 0.62
222 - 378 : 0.56
222 - 393 : 0.52
222 - 405 : 0.54
222 - 407 : 0.5
222 - 417 : 0.56
222 - 429 : 0.54
222 - 435 : 0.66
222 - 551 : 0.52
222 - 682 : 0.56
222 - 715 : 0.52
222 - 749 : 0.54
222 - 796 : 0.52
222 - 804 : 0.54
222 - 846 : 0.54
222 - 864 : 0.5
222 - 880 : 0.64
222 - 916 : 0.54
234 - 279 : 0.5
234 - 308 : 0.58
234 - 406 : 0.6
234 - 450 : 0.5
234 - 524 : 0.54
234 - 537 : 0.5
234 - 561 : 0.62
241 - 920 : 0.56
249 - 521 : 0.52
249 - 899 : 0.5
254 - 290 : 0.54
254 - 536 : 0.5
254 - 881 : 0.5
267 - 864 : 0.5
268 - 276 : 0.5
268 - 279 : 0.58
268 - 407 : 0.52
268 - 417 : 0.6
268 - 435 : 0.54
268 - 472 : 0.52
268 - 727 : 0.54
268 - 880 : 0.5
269 - 650 : 0.56
271 - 398 : 0.5
271 - 474 : 0.54
273 - 866 : 0.5
275 - 307 : 0.5
275 - 807 : 0.54
276 - 293 : 0.56
276 - 301 : 0.54
276 - 303 : 0.6
276 - 308 : 0.5
276 - 363 : 0.5
276 - 378 : 0.58
276 - 393 : 0.54
276 - 416 : 0.58
276 - 417 : 0.58
276 - 435 : 0.64
276 - 551 : 0.56
276 - 682 : 0.56
276 - 788 : 0.54
276 - 796 : 0.5
276 - 880 : 0.54
279 - 417 : 0.5
279 - 804 : 0.5
279 - 880 : 0.52
281 - 589 : 0.52
290 - 536 : 0.5
290 - 807 : 0.5
290 - 881 : 0.56
290 - 892 : 0.52
290 - 897 : 0.5
293 - 308 : 0.5
293 - 416 : 0.52
293 - 429 : 0.5
293 - 435 : 0.54
293 - 437 : 0.52
293 - 450 : 0.54
293 - 551 : 0.54
293 - 618 : 0.5
293 - 655 : 0.5
293 - 682 : 0.62
293 - 896 : 0.58
295 - 933 : 0.5
298 - 330 : 0.5
298 - 786 : 0.5
299 - 308 : 0.5
299 - 354 : 0.5
301 - 303 : 0.5
301 - 429 : 0.5
301 - 653 : 0.52
301 - 682 : 0.54
301 - 749 : 0.54
301 - 795 : 0.5
301 - 896 : 0.5
301 - 916 : 0.5
303 - 417 : 0.54
303 - 429 : 0.6
303 - 435 : 0.52
308 - 378 : 0.52
308 - 406 : 0.5
308 - 429 : 0.5
308 - 450 : 0.5
308 - 537 : 0.54
308 - 561 : 0.5
308 - 796 : 0.52
311 - 343 : 0.5
312 - 716 : 0.5
313 - 479 : 0.5
313 - 650 : 0.5
313 - 716 : 0.58
313 - 815 : 0.52
313 - 843 : 0.5
313 - 881 : 0.54
313 - 892 : 0.58
321 - 553 : 0.5
326 - 766 : 0.5
328 - 716 : 0.5
328 - 788 : 0.62
334 - 537 : 0.5
344 - 345 : 0.5
346 - 749 : 0.56
349 - 518 : 0.5
354 - 380 : 0.5
354 - 535 : 0.5
362 - 772 : 0.54
367 - 368 : 0.54
367 - 814 : 0.5
368 - 604 : 0.56
373 - 618 : 0.54
373 - 881 : 0.5
373 - 882 : 0.5
378 - 393 : 0.54
378 - 406 : 0.5
378 - 416 : 0.54
378 - 429 : 0.52
378 - 435 : 0.5
378 - 450 : 0.5
378 - 551 : 0.5
378 - 561 : 0.54
378 - 682 : 0.5
378 - 796 : 0.5
379 - 933 : 0.52
385 - 389 : 0.5
387 - 561 : 0.52
389 - 883 : 0.5
393 - 435 : 0.52
396 - 580 : 0.5
399 - 429 : 0.5
399 - 472 : 0.54
399 - 864 : 0.5
400 - 589 : 0.5
405 - 655 : 0.52
405 - 846 : 0.58
406 - 537 : 0.52
406 - 561 : 0.52
406 - 846 : 0.52
406 - 916 : 0.52
407 - 417 : 0.56
407 - 621 : 0.52
407 - 650 : 0.54
407 - 660 : 0.54
407 - 727 : 0.5
407 - 790 : 0.5
407 - 795 : 0.52
407 - 804 : 0.52
408 - 898 : 0.88
410 - 856 : 0.5
416 - 429 : 0.54
416 - 532 : 0.5
416 - 796 : 0.52
417 - 435 : 0.54
428 - 589 : 0.5
429 - 537 : 0.5
429 - 551 : 0.5
429 - 618 : 0.5
429 - 796 : 0.52
429 - 864 : 0.52
429 - 916 : 0.52
432 - 714 : 0.52
435 - 472 : 0.5
435 - 551 : 0.64
435 - 682 : 0.62
435 - 880 : 0.56
435 - 896 : 0.54
446 - 853 : 0.56
446 - 920 : 0.54
450 - 524 : 0.52
450 - 537 : 0.52
451 - 489 : 0.6
451 - 587 : 0.6
451 - 721 : 0.56
451 - 724 : 0.5
457 - 716 : 0.5
458 - 474 : 0.5
466 - 619 : 0.56
472 - 621 : 0.52
472 - 795 : 0.5
472 - 881 : 0.5
474 - 533 : 0.5
474 - 666 : 0.54
474 - 716 : 0.54
479 - 892 : 0.5
484 - 705 : 0.5
485 - 547 : 0.52
486 - 548 : 0.5
489 - 587 : 0.66
495 - 727 : 0.5
497 - 682 : 0.5
504 - 577 : 0.5
518 - 634 : 0.54
521 - 899 : 0.5
524 - 535 : 0.5
524 - 537 : 0.54
525 - 714 : 0.5
529 - 853 : 0.52
533 - 881 : 0.52
535 - 537 : 0.5
537 - 561 : 0.54
537 - 796 : 0.54
537 - 846 : 0.52
